"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
2009-10-01,"00:37:00",0.286,"0.210","244.670","1.400","0.000","1.000","0.000"
2009-10-01,"00:38:00",0.286,"0.210","244.730","1.400","0.000","2.000","1.000"
2009-10-01,"00:39:00",0.284,"0.212","245.230","1.400","0.000","1.000","1.000"
2009-10-01,"00:40:00",0.282,"0.212","245.220","1.400","0.000","1.000","0.000"
2009-10-01,"00:41:00",0.28,"0.210","244.930","1.400","0.000","1.000","1.000"
2009-10-01,"00:42:00",0.276,"0.204","243.000","1.400","0.000","2.000","1.000"
2009-10-01,"00:43:00",0.276,"0.206","243.090","1.400","0.000","1.000","0.000"
2009-10-01,"00:44:00",0.276,"0.206","243.270","1.400","0.000","1.000","1.000"
2009-10-01,"00:45:00",0.274,"0.204","242.920","1.400","0.000","1.000","1.000"
2009-10-01,"00:46:00",0.274,"0.204","242.780","1.400","0.000","1.000","0.000"
2009-10-01,"00:47:00",0.274,"0.204","242.730","1.400","0.000","2.000","1.000"
2009-10-01,"00:48:00",0.272,"0.204","242.750","1.400","0.000","1.000","1.000"
2009-10-01,"00:49:00",0.246,"0.162","242.300","1.200","0.000","1.000","0.000"
2009-10-01,"00:50:00",0.206,"0.100","242.600","0.800","0.000","1.000","1.000"
2009-10-01,"00:51:00",0.206,"0.100","242.830","0.800","0.000","1.000","1.000"
2009-10-01,"00:52:00",0.28,"0.122","242.440","1.600","0.000","2.000","1.000"
2009-10-01,"00:53:00",0.85,"0.262","241.270","3.600","0.000","1.000","12.000"
2009-10-01,"00:54:00",0.87,"0.262","241.200","3.800","0.000","1.000","11.000"
2009-10-01,"00:55:00",0.902,"0.262","241.470","3.800","0.000","1.000","13.000"
2009-10-01,"00:56:00",0.912,"0.262","241.630","3.800","0.000","1.000","12.000"
2009-10-01,"00:57:00",0.308,"0.124","242.430","1.600","0.000","1.000","3.000"
2009-10-01,"00:58:00",0.204,"0.098","242.460","0.800","0.000","2.000","1.000"
2009-10-01,"00:59:00",0.25,"0.144","243.120","1.200","0.000","1.000","0.000"
2009-10-01,"01:00:00",0.312,"0.236","242.890","1.600","0.000","1.000","1.000"
2009-10-01,"01:01:00",0.306,"0.234","242.390","1.600","0.000","1.000","1.000"
2009-10-01,"01:02:00",0.304,"0.232","242.060","1.600","0.000","1.000","0.000"
2009-10-01,"01:03:00",0.302,"0.234","242.620","1.400","0.000","2.000","1.000"
2009-10-01,"01:04:00",0.282,"0.206","242.940","1.400","0.000","1.000","1.000"
2009-10-01,"01:05:00",0.228,"0.116","243.570","1.000","0.000","0.000","0.000"
2009-10-01,"01:06:00",0.228,"0.114","243.370","1.000","0.000","0.000","1.000"
2009-10-01,"01:07:00",0.226,"0.114","243.350","1.000","0.000","0.000","1.000"
2009-10-01,"01:08:00",0.226,"0.116","243.630","1.000","0.000","0.000","0.000"
2009-10-01,"01:09:00",0.226,"0.116","243.760","1.000","0.000","0.000","1.000"
2009-10-01,"01:10:00",0.226,"0.114","243.570","1.000","0.000","0.000","1.000"
2009-10-01,"01:11:00",0.226,"0.114","243.370","1.000","0.000","0.000","0.000"
2009-10-01,"01:12:00",0.224,"0.114","242.900","1.000","0.000","0.000","1.000"
2009-10-01,"01:13:00",0.224,"0.114","242.990","1.000","0.000","0.000","1.000"
2009-10-01,"01:14:00",0.224,"0.116","243.320","1.000","0.000","0.000","0.000"
2009-10-01,"01:15:00",0.224,"0.114","243.180","1.000","0.000","0.000","1.000"
2009-10-01,"01:16:00",0.224,"0.116","243.410","1.000","0.000","0.000","1.000"
2009-10-01,"01:17:00",0.222,"0.114","243.140","1.000","0.000","0.000","0.000"
2009-10-01,"01:18:00",0.222,"0.114","243.200","1.000","0.000","0.000","1.000"
2009-10-01,"01:19:00",0.188,"0.066","243.360","0.800","0.000","0.000","1.000"
2009-10-01,"01:20:00",0.13,"0.000","243.770","0.600","0.000","0.000","0.000"
2009-10-01,"01:21:00",0.13,"0.000","243.740","0.400","0.000","0.000","1.000"
2009-10-01,"01:22:00",0.128,"0.000","243.480","0.400","0.000","0.000","1.000"
2009-10-01,"01:23:00",0.188,"0.000","243.270","1.000","0.000","0.000","0.000"
2009-10-01,"01:24:00",0.206,"0.084","243.220","0.800","0.000","0.000","1.000"
2009-10-01,"01:25:00",0.206,"0.084","243.700","0.800","0.000","0.000","1.000"
2009-10-01,"01:26:00",0.208,"0.084","243.550","0.800","0.000","0.000","0.000"
2009-10-01,"01:27:00",0.206,"0.084","243.440","0.800","0.000","0.000","1.000"
2009-10-01,"01:28:00",0.204,"0.082","243.310","0.800","0.000","0.000","1.000"
2009-10-01,"01:29:00",0.202,"0.082","243.250","0.800","0.000","0.000","0.000"
2009-10-01,"01:30:00",0.202,"0.084","243.500","0.800","0.000","0.000","1.000"
2009-10-01,"01:31:00",0.202,"0.084","243.730","0.800","0.000","0.000","1.000"
2009-10-01,"01:32:00",0.2,"0.084","243.800","0.800","0.000","0.000","0.000"
2009-10-01,"01:33:00",0.2,"0.084","243.530","0.800","0.000","0.000","1.000"
2009-10-01,"01:34:00",0.2,"0.084","243.510","0.800","0.000","0.000","1.000"
2009-10-01,"01:35:00",0.2,"0.084","243.590","0.800","0.000","0.000","0.000"
2009-10-01,"01:36:00",0.198,"0.082","243.360","0.800","0.000","0.000","1.000"
2009-10-01,"01:37:00",0.128,"0.000","243.560","0.400","0.000","0.000","1.000"
2009-10-01,"01:38:00",0.128,"0.000","243.570","0.400","0.000","0.000","0.000"
2009-10-01,"01:39:00",0.13,"0.000","244.130","0.400","0.000","0.000","1.000"
2009-10-01,"01:40:00",0.13,"0.000","244.330","0.400","0.000","0.000","1.000"
2009-10-01,"01:41:00",0.13,"0.000","245.180","0.600","0.000","0.000","0.000"
2009-10-01,"01:42:00",0.158,"0.000","245.580","0.800","0.000","0.000","1.000"
2009-10-01,"01:43:00",0.242,"0.118","245.010","1.000","0.000","0.000","1.000"
2009-10-01,"01:44:00",0.238,"0.118","244.860","1.000","0.000","0.000","0.000"
2009-10-01,"01:45:00",0.234,"0.118","244.820","1.000","0.000","0.000","1.000"
2009-10-01,"01:46:00",0.232,"0.118","244.830","1.000","0.000","0.000","1.000"
2009-10-01,"01:47:00",0.23,"0.116","244.200","1.000","0.000","0.000","0.000"
2009-10-01,"01:48:00",0.228,"0.116","243.730","1.000","0.000","0.000","1.000"
2009-10-01,"01:49:00",0.228,"0.116","243.850","1.000","0.000","0.000","1.000"
2009-10-01,"01:50:00",0.226,"0.116","244.020","1.000","0.000","0.000","0.000"
2009-10-01,"01:51:00",0.226,"0.116","244.000","1.000","0.000","0.000","1.000"
2009-10-01,"01:52:00",0.224,"0.114","243.010","1.000","0.000","0.000","1.000"
2009-10-01,"01:53:00",0.224,"0.112","242.640","1.000","0.000","0.000","0.000"
2009-10-01,"01:54:00",0.224,"0.112","242.400","1.000","0.000","0.000","1.000"
2009-10-01,"01:55:00",0.222,"0.112","241.950","1.000","0.000","0.000","0.000"
2009-10-01,"01:56:00",0.222,"0.112","242.130","1.000","0.000","0.000","1.000"
2009-10-01,"01:57:00",0.222,"0.112","242.020","1.000","0.000","0.000","1.000"
2009-10-01,"01:58:00",0.222,"0.110","241.710","1.000","0.000","0.000","0.000"
2009-10-01,"01:59:00",0.656,"0.222","241.090","3.200","0.000","0.000","8.000"
2009-10-01,"02:00:00",0.87,"0.270","240.710","3.800","0.000","0.000","11.000"
2009-10-01,"02:01:00",0.902,"0.270","240.880","3.800","0.000","0.000","12.000"
2009-10-01,"02:02:00",0.908,"0.250","241.010","3.800","0.000","0.000","13.000"
2009-10-01,"02:03:00",0.734,"0.110","241.090","3.200","0.000","0.000","11.000"
2009-10-01,"02:04:00",0.128,"0.000","241.890","0.400","0.000","0.000","1.000"
2009-10-01,"02:05:00",0.128,"0.000","242.520","0.400","0.000","0.000","0.000"
2009-10-01,"02:06:00",0.128,"0.000","243.130","0.400","0.000","0.000","1.000"
2009-10-01,"02:07:00",0.128,"0.000","243.190","0.400","0.000","0.000","1.000"
2009-10-01,"02:08:00",0.128,"0.000","243.030","0.400","0.000","0.000","0.000"
2009-10-01,"02:09:00",0.128,"0.000","243.360","0.400","0.000","0.000","1.000"
2009-10-01,"02:10:00",0.13,"0.000","243.880","0.400","0.000","0.000","1.000"
2009-10-01,"02:11:00",0.196,"0.046","244.150","1.000","0.000","0.000","0.000"
2009-10-01,"02:12:00",0.208,"0.084","243.980","0.800","0.000","0.000","1.000"
2009-10-01,"02:13:00",0.208,"0.084","243.880","0.800","0.000","0.000","1.000"
2009-10-01,"02:14:00",0.208,"0.084","243.860","0.800","0.000","0.000","0.000"
2009-10-01,"02:15:00",0.206,"0.082","243.120","0.800","0.000","0.000","1.000"
2009-10-01,"02:16:00",0.204,"0.082","243.100","0.800","0.000","0.000","1.000"
2009-10-01,"02:17:00",0.202,"0.082","243.020","0.800","0.000","0.000","0.000"
2009-10-01,"02:18:00",0.202,"0.082","243.000","0.800","0.000","0.000","1.000"
2009-10-01,"02:19:00",0.2,"0.082","243.140","0.800","0.000","0.000","1.000"
2009-10-01,"02:20:00",0.2,"0.082","242.830","0.800","0.000","0.000","0.000"
2009-10-01,"02:21:00",0.198,"0.082","242.460","0.800","0.000","0.000","1.000"
2009-10-01,"02:22:00",0.198,"0.080","241.920","0.800","0.000","0.000","1.000"
2009-10-01,"02:23:00",0.198,"0.080","242.150","0.800","0.000","0.000","0.000"
2009-10-01,"02:24:00",0.154,"0.000","242.330","0.600","0.000","0.000","1.000"
2009-10-01,"02:25:00",0.128,"0.000","242.510","0.400","0.000","0.000","1.000"
2009-10-01,"02:26:00",0.234,"0.092","242.500","1.000","0.000","0.000","0.000"
2009-10-01,"02:27:00",0.238,"0.112","242.440","1.000","0.000","0.000","1.000"
2009-10-01,"02:28:00",0.232,"0.112","242.530","1.000","0.000","0.000","1.000"
2009-10-01,"02:29:00",0.23,"0.112","242.550","1.000","0.000","0.000","0.000"
2009-10-01,"02:30:00",0.228,"0.112","242.670","1.000","0.000","0.000","1.000"
2009-10-01,"02:31:00",0.228,"0.112","242.760","1.000","0.000","0.000","1.000"
2009-10-01,"02:32:00",0.226,"0.112","242.730","1.000","0.000","0.000","0.000"
2009-10-01,"02:33:00",0.226,"0.114","242.930","1.000","0.000","0.000","1.000"
2009-10-01,"02:34:00",0.226,"0.114","242.970","1.000","0.000","0.000","1.000"
2009-10-01,"02:35:00",0.226,"0.114","243.220","1.000","0.000","0.000","0.000"
2009-10-01,"02:36:00",0.224,"0.114","243.130","1.000","0.000","0.000","1.000"
2009-10-01,"02:37:00",0.224,"0.114","243.340","1.000","0.000","0.000","1.000"
2009-10-01,"02:38:00",0.226,"0.116","244.240","1.000","0.000","0.000","0.000"
2009-10-01,"02:39:00",0.224,"0.116","243.670","1.000","0.000","0.000","1.000"
2009-10-01,"02:40:00",0.224,"0.114","243.250","1.000","0.000","0.000","1.000"
2009-10-01,"02:41:00",0.224,"0.116","243.950","1.000","0.000","0.000","0.000"
2009-10-01,"02:42:00",0.318,"0.230","244.210","1.600","0.000","0.000","1.000"
2009-10-01,"02:43:00",0.312,"0.244","244.500","1.600","0.000","1.000","1.000"
2009-10-01,"02:44:00",0.312,"0.244","244.690","1.600","0.000","2.000","0.000"
2009-10-01,"02:45:00",0.312,"0.244","244.750","1.600","0.000","1.000","1.000"
2009-10-01,"02:46:00",0.26,"0.166","244.560","1.200","0.000","2.000","1.000"
2009-10-01,"02:47:00",0.22,"0.104","244.270","1.000","0.000","1.000","0.000"
2009-10-01,"02:48:00",0.22,"0.102","243.440","1.000","0.000","2.000","1.000"
2009-10-01,"02:49:00",0.216,"0.100","242.350","1.000","0.000","1.000","0.000"
2009-10-01,"02:50:00",0.216,"0.100","242.240","1.000","0.000","2.000","1.000"
2009-10-01,"02:51:00",0.218,"0.100","242.940","1.000","0.000","1.000","1.000"
2009-10-01,"02:52:00",0.216,"0.100","242.780","1.000","0.000","1.000","0.000"
2009-10-01,"02:53:00",0.216,"0.100","242.810","1.000","0.000","2.000","1.000"
2009-10-01,"02:54:00",0.214,"0.100","242.970","1.000","0.000","1.000","1.000"
2009-10-01,"02:55:00",0.214,"0.102","243.580","1.000","0.000","2.000","0.000"
2009-10-01,"02:56:00",0.212,"0.102","243.430","1.000","0.000","1.000","1.000"
2009-10-01,"02:57:00",0.212,"0.102","243.680","0.800","0.000","1.000","1.000"
2009-10-01,"02:58:00",0.21,"0.102","243.870","0.800","0.000","2.000","0.000"
2009-10-01,"02:59:00",0.296,"0.200","243.850","1.600","0.000","1.000","1.000"
2009-10-01,"03:00:00",0.284,"0.206","243.490","1.400","0.000","1.000","1.000"
2009-10-01,"03:01:00",0.284,"0.206","243.080","1.400","0.000","1.000","0.000"
2009-10-01,"03:02:00",0.282,"0.204","242.950","1.400","0.000","2.000","1.000"
2009-10-01,"03:03:00",0.28,"0.206","243.270","1.400","0.000","1.000","1.000"
2009-10-01,"03:04:00",0.278,"0.204","243.060","1.400","0.000","1.000","0.000"
2009-10-01,"03:05:00",0.276,"0.204","242.970","1.400","0.000","2.000","1.000"
2009-10-01,"03:06:00",0.274,"0.204","242.940","1.400","0.000","1.000","1.000"
2009-10-01,"03:07:00",0.274,"0.204","242.930","1.400","0.000","1.000","0.000"
2009-10-01,"03:08:00",0.274,"0.206","243.070","1.400","0.000","1.000","1.000"
2009-10-01,"03:09:00",0.522,"0.286","243.060","2.800","0.000","1.000","4.000"
2009-10-01,"03:10:00",1.026,"0.512","242.550","4.600","0.000","2.000","11.000"
2009-10-01,"03:11:00",1.044,"0.500","242.660","4.800","0.000","1.000","12.000"
2009-10-01,"03:12:00",1.004,"0.404","242.550","4.400","0.000","1.000","13.000"
2009-10-01,"03:13:00",1.01,"0.402","242.390","4.400","0.000","1.000","12.000"
2009-10-01,"03:14:00",0.404,"0.260","243.040","2.200","0.000","1.000","3.000"
2009-10-01,"03:15:00",0.3,"0.236","243.070","1.400","0.000","2.000","1.000"
2009-10-01,"03:16:00",0.3,"0.238","243.290","1.400","0.000","1.000","0.000"
2009-10-01,"03:17:00",0.298,"0.238","243.350","1.400","0.000","1.000","1.000"
2009-10-01,"03:18:00",0.298,"0.238","243.460","1.400","0.000","1.000","1.000"
2009-10-01,"03:19:00",0.298,"0.238","243.310","1.400","0.000","2.000","0.000"
2009-10-01,"03:20:00",0.298,"0.238","243.170","1.400","0.000","1.000","1.000"
2009-10-01,"03:21:00",0.296,"0.236","242.790","1.400","0.000","1.000","1.000"
2009-10-01,"03:22:00",0.296,"0.236","242.830","1.400","0.000","1.000","0.000"
2009-10-01,"03:23:00",0.296,"0.236","243.180","1.400","0.000","1.000","1.000"
2009-10-01,"03:24:00",0.294,"0.236","243.040","1.400","0.000","2.000","1.000"
2009-10-01,"03:25:00",0.294,"0.236","242.710","1.400","0.000","1.000","0.000"
2009-10-01,"03:26:00",0.294,"0.236","242.890","1.400","0.000","1.000","1.000"
2009-10-01,"03:27:00",0.294,"0.236","242.980","1.400","0.000","1.000","1.000"
2009-10-01,"03:28:00",0.294,"0.236","243.020","1.400","0.000","1.000","0.000"
2009-10-01,"03:29:00",0.292,"0.236","242.960","1.400","0.000","1.000","1.000"
2009-10-01,"03:30:00",0.256,"0.180","243.140","1.200","0.000","2.000","1.000"
2009-10-01,"03:31:00",0.202,"0.102","243.390","0.800","0.000","1.000","0.000"
2009-10-01,"03:32:00",0.202,"0.100","242.830","0.800","0.000","1.000","1.000"
2009-10-01,"03:33:00",0.168,"0.000","243.890","0.800","0.000","1.000","1.000"
2009-10-01,"03:34:00",0.13,"0.000","244.410","0.600","0.000","0.000","0.000"
2009-10-01,"03:35:00",0.13,"0.000","244.130","0.400","0.000","0.000","1.000"
2009-10-01,"03:36:00",0.13,"0.000","244.070","0.600","0.000","0.000","1.000"
2009-10-01,"03:37:00",0.13,"0.000","244.070","0.400","0.000","0.000","0.000"
2009-10-01,"03:38:00",0.13,"0.000","244.050","0.400","0.000","0.000","1.000"
2009-10-01,"03:39:00",0.128,"0.000","243.570","0.400","0.000","0.000","1.000"
2009-10-01,"03:40:00",0.128,"0.000","243.440","0.400","0.000","0.000","0.000"
2009-10-01,"03:41:00",0.128,"0.000","243.470","0.400","0.000","0.000","1.000"
2009-10-01,"03:42:00",0.128,"0.000","243.550","0.400","0.000","0.000","1.000"
2009-10-01,"03:43:00",0.128,"0.000","243.460","0.400","0.000","0.000","0.000"
2009-10-01,"03:44:00",0.128,"0.000","243.300","0.400","0.000","0.000","1.000"
2009-10-01,"03:45:00",0.128,"0.000","243.190","0.400","0.000","0.000","1.000"
2009-10-01,"03:46:00",0.19,"0.000","243.140","1.000","0.000","0.000","0.000"
2009-10-01,"03:47:00",0.206,"0.082","243.180","0.800","0.000","0.000","1.000"
2009-10-01,"03:48:00",0.208,"0.082","243.480","0.800","0.000","0.000","1.000"
2009-10-01,"03:49:00",0.208,"0.084","243.730","0.800","0.000","0.000","0.000"
2009-10-01,"03:50:00",0.206,"0.082","243.600","0.800","0.000","0.000","1.000"
2009-10-01,"03:51:00",0.204,"0.082","243.600","0.800","0.000","0.000","1.000"
2009-10-01,"03:52:00",0.202,"0.084","243.790","0.800","0.000","0.000","0.000"
2009-10-01,"03:53:00",0.202,"0.084","243.880","0.800","0.000","0.000","1.000"
2009-10-01,"03:54:00",0.302,"0.194","243.650","1.400","0.000","0.000","1.000"
2009-10-01,"03:55:00",0.308,"0.220","243.730","1.400","0.000","0.000","0.000"
2009-10-01,"03:56:00",0.304,"0.220","243.670","1.400","0.000","0.000","1.000"
2009-10-01,"03:57:00",0.302,"0.222","244.220","1.400","0.000","0.000","1.000"
2009-10-01,"03:58:00",0.3,"0.222","244.020","1.400","0.000","0.000","0.000"
2009-10-01,"03:59:00",0.246,"0.144","244.030","1.200","0.000","0.000","1.000"
2009-10-01,"04:00:00",0.228,"0.116","243.670","1.000","0.000","0.000","1.000"
2009-10-01,"04:01:00",0.228,"0.116","243.820","1.000","0.000","0.000","0.000"
2009-10-01,"04:02:00",0.226,"0.114","243.310","1.000","0.000","0.000","1.000"
2009-10-01,"04:03:00",0.226,"0.114","243.480","1.000","0.000","0.000","1.000"
2009-10-01,"04:04:00",0.226,"0.114","243.590","1.000","0.000","0.000","0.000"
2009-10-01,"04:05:00",0.224,"0.114","243.260","1.000","0.000","0.000","1.000"
2009-10-01,"04:06:00",0.224,"0.114","243.010","1.000","0.000","0.000","1.000"
2009-10-01,"04:07:00",0.224,"0.114","243.110","1.000","0.000","0.000","0.000"
2009-10-01,"04:08:00",0.224,"0.114","243.180","1.000","0.000","0.000","1.000"
2009-10-01,"04:09:00",0.224,"0.114","243.330","1.000","0.000","0.000","1.000"
2009-10-01,"04:10:00",0.222,"0.114","243.320","1.000","0.000","0.000","0.000"
2009-10-01,"04:11:00",0.222,"0.114","243.270","1.000","0.000","0.000","1.000"
2009-10-01,"04:12:00",0.222,"0.114","243.600","1.000","0.000","0.000","1.000"
2009-10-01,"04:13:00",0.222,"0.114","243.550","1.000","0.000","0.000","0.000"
2009-10-01,"04:14:00",0.168,"0.000","243.610","0.800","0.000","0.000","1.000"
2009-10-01,"04:15:00",0.13,"0.000","243.640","0.600","0.000","0.000","1.000"
2009-10-01,"04:16:00",0.13,"0.000","243.700","0.600","0.000","0.000","0.000"
2009-10-01,"04:17:00",0.13,"0.000","243.830","0.600","0.000","0.000","1.000"
2009-10-01,"04:18:00",0.13,"0.000","243.740","0.600","0.000","0.000","0.000"
2009-10-01,"04:19:00",0.13,"0.000","244.200","0.600","0.000","0.000","1.000"
2009-10-01,"04:20:00",0.566,"0.102","243.780","2.600","0.000","0.000","8.000"
2009-10-01,"04:21:00",0.784,"0.152","243.060","3.200","0.000","0.000","11.000"
2009-10-01,"04:22:00",0.816,"0.148","242.810","3.400","0.000","0.000","12.000"
2009-10-01,"04:23:00",0.834,"0.148","242.820","3.400","0.000","0.000","13.000"
2009-10-01,"04:24:00",0.404,"0.000","243.100","2.200","0.000","0.000","5.000"
2009-10-01,"04:25:00",0.13,"0.000","243.810","0.600","0.000","0.000","1.000"
2009-10-01,"04:26:00",0.13,"0.000","243.530","0.600","0.000","0.000","1.000"
2009-10-01,"04:27:00",0.13,"0.000","243.190","0.600","0.000","0.000","0.000"
2009-10-01,"04:28:00",0.13,"0.000","243.630","0.600","0.000","0.000","1.000"
2009-10-01,"04:29:00",0.13,"0.000","244.280","0.600","0.000","0.000","1.000"
2009-10-01,"04:30:00",0.13,"0.000","244.340","0.600","0.000","0.000","0.000"
2009-10-01,"04:31:00",0.13,"0.000","244.290","0.600","0.000","0.000","1.000"
2009-10-01,"04:32:00",0.13,"0.000","244.370","0.400","0.000","0.000","1.000"
2009-10-01,"04:33:00",0.13,"0.000","244.850","0.600","0.000","0.000","0.000"
2009-10-01,"04:34:00",0.226,"0.088","245.180","1.000","0.000","0.000","1.000"
2009-10-01,"04:35:00",0.208,"0.088","244.820","0.800","0.000","0.000","1.000"
2009-10-01,"04:36:00",0.21,"0.086","244.910","0.800","0.000","0.000","0.000"
2009-10-01,"04:37:00",0.208,"0.086","244.950","0.800","0.000","0.000","1.000"
2009-10-01,"04:38:00",0.314,"0.208","244.630","1.600","0.000","0.000","1.000"
2009-10-01,"04:39:00",0.312,"0.224","244.420","1.400","0.000","0.000","0.000"
2009-10-01,"04:40:00",0.306,"0.224","244.350","1.400","0.000","0.000","1.000"
2009-10-01,"04:41:00",0.302,"0.222","244.100","1.400","0.000","0.000","1.000"
2009-10-01,"04:42:00",0.3,"0.222","243.890","1.400","0.000","0.000","0.000"
2009-10-01,"04:43:00",0.298,"0.222","243.670","1.400","0.000","0.000","1.000"
2009-10-01,"04:44:00",0.296,"0.220","243.670","1.400","0.000","0.000","1.000"
2009-10-01,"04:45:00",0.296,"0.220","243.600","1.400","0.000","0.000","0.000"
2009-10-01,"04:46:00",0.296,"0.222","243.960","1.400","0.000","0.000","1.000"
2009-10-01,"04:47:00",0.232,"0.124","243.920","1.000","0.000","0.000","1.000"
2009-10-01,"04:48:00",0.226,"0.116","243.820","1.000","0.000","0.000","0.000"
2009-10-01,"04:49:00",0.224,"0.116","243.730","1.000","0.000","0.000","1.000"
2009-10-01,"04:50:00",0.224,"0.116","243.580","1.000","0.000","0.000","1.000"
2009-10-01,"04:51:00",0.224,"0.116","243.910","1.000","0.000","0.000","0.000"
2009-10-01,"04:52:00",0.224,"0.116","243.770","1.000","0.000","0.000","1.000"
2009-10-01,"04:53:00",0.224,"0.116","243.650","1.000","0.000","0.000","1.000"
2009-10-01,"04:54:00",0.224,"0.116","243.640","1.000","0.000","0.000","0.000"
2009-10-01,"04:55:00",0.222,"0.114","243.540","1.000","0.000","0.000","1.000"
2009-10-01,"04:56:00",0.222,"0.116","243.850","1.000","0.000","0.000","1.000"
2009-10-01,"04:57:00",0.222,"0.116","243.870","1.000","0.000","0.000","0.000"
2009-10-01,"04:58:00",0.134,"0.000","243.790","0.600","0.000","0.000","1.000"
2009-10-01,"04:59:00",0.13,"0.000","243.830","0.400","0.000","0.000","1.000"
2009-10-01,"05:00:00",0.13,"0.000","244.160","0.400","0.000","0.000","0.000"
2009-10-01,"05:01:00",0.13,"0.000","244.070","0.400","0.000","0.000","1.000"
2009-10-01,"05:02:00",0.128,"0.000","243.870","0.400","0.000","0.000","1.000"
2009-10-01,"05:03:00",0.128,"0.000","243.900","0.400","0.000","0.000","0.000"
2009-10-01,"05:04:00",0.13,"0.000","244.590","0.400","0.000","0.000","1.000"
2009-10-01,"05:05:00",0.13,"0.000","244.520","0.400","0.000","0.000","1.000"
2009-10-01,"05:06:00",0.13,"0.000","244.350","0.400","0.000","0.000","0.000"
2009-10-01,"05:07:00",0.13,"0.000","244.190","0.400","0.000","0.000","1.000"
2009-10-01,"05:08:00",0.128,"0.000","243.940","0.400","0.000","0.000","1.000"
2009-10-01,"05:09:00",0.13,"0.000","244.560","0.600","0.000","0.000","0.000"
2009-10-01,"05:10:00",0.13,"0.000","244.650","0.600","0.000","0.000","1.000"
2009-10-01,"05:11:00",0.202,"0.058","244.110","1.000","0.000","0.000","1.000"
2009-10-01,"05:12:00",0.22,"0.102","243.790","1.000","0.000","1.000","0.000"
2009-10-01,"05:13:00",0.218,"0.102","243.320","1.000","0.000","2.000","1.000"
2009-10-01,"05:14:00",0.218,"0.102","243.310","1.000","0.000","1.000","1.000"
